,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_reduce_dim__n_components
2,2,1305.5708714326222,439.0799438080362,5.343015432357788,0.11424009680008758,20.0,SelectKBest(k=50),50,0.1,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.1}",0.6008728296958606,0.5917058554159933,0.5550277297936176,0.5825354716351572,0.01980766266334872,3,,,,,,
42,0,6607.271231174469,2210.85656763658,11.530231714248655,1.5072297132876695,,PCA(n_components=0.95),100,0.009000000000000001,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6125645837998958,0.5782966824377238,0.556493219171521,0.5824514951363802,0.02307879740140616,1,0.6099344170082011,0.5912409328107745,0.5762996854958186,0.5924916784382647,0.01375977384615577,0.95
39,0,5285.047583500545,1924.9328411987742,11.532529513041176,0.2413199927296651,,PCA(n_components=0.95),100,0.009000000000000001,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6125645837998958,0.5782966824377238,0.556493219171521,0.5824514951363802,0.02307879740140616,1,0.6099344170082011,0.5912409328107745,0.5762996854958186,0.5924916784382647,0.01375977384615577,0.95
28,1,5405.9193766117105,1716.016186258305,10.565973997116087,1.59674093216926,,PCA(n_components=0.91),100,0.009000000000000001,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.91), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6125645837998958,0.5782966824377238,0.556493219171521,0.5824514951363802,0.02307879740140616,2,0.6099344170082011,0.5912409328107745,0.5762996854958186,0.5924916784382647,0.01375977384615577,0.95
23,2,7886.7880499362955,2451.553438227865,19.315184593200684,2.5356328370201697,30.0,SelectKBest(k=30),250,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 250, 'clf__learning_rate': 0.009}",0.5902199883786057,0.5966673350463146,0.5585717339213194,0.5818196857820799,0.016648173454438024,3,0.6024038406779274,0.6052513088174238,0.57502771377924,0.5942276210915304,0.013626062021038188,
11,1,1526.7411239147186,472.4636495873968,4.836828788121541,0.11552961280797705,20.0,SelectKBest(k=50),50,0.009000000000000001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.5351900967775315,0.605697448233791,0.5992032167634675,0.58003025392493,0.03181743264679581,3,0.5527765067639763,0.6133255082245155,0.6105706968799869,0.5922242372894929,0.027916420843848842,
33,1,4913.680415948232,1658.4258555655692,10.74699250857035,1.3714457752637086,,PCA(n_components=0.93),100,0.001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.001}",0.6053624810535148,0.5796608928429137,0.5508366448385028,0.578620006244977,0.022272244123106827,1,0.6181294807734087,0.5899826076738779,0.5661209696765368,0.5914110193746078,0.0212563963176334,0.93
25,1,2175.404098669688,777.4067128366099,6.374828179677326,0.3819235910882233,,PCA(n_components=0.93),50,0.001,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6184556607772211,0.5792730101740646,0.5364028033762606,0.5780438247758487,0.033509212907029795,2,0.6312866002946372,0.5896169476869866,0.5556298865253112,0.5921778115023116,0.03093975977286522,0.91
34,2,2380.868497689565,613.7284190474574,6.035742998123169,1.1148564780802266,,PCA(n_components=0.93),50,0.001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6184556607772211,0.5792730101740646,0.536395354843557,0.5780413419316143,0.03351229831446189,2,0.6312866002946372,0.5896169476869866,0.5556070008935591,0.5921701829583944,0.0309487716411092,0.93
36,0,2823.564834992091,993.3812586582557,6.474561532338459,0.09524384078170384,,PCA(n_components=0.95),50,0.001,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6184556607772211,0.5792730101740646,0.536395354843557,0.5780413419316143,0.03351229831446189,1,0.6312866002946372,0.5896169476869866,0.5556070008935591,0.5921701829583944,0.0309487716411092,0.95
